,Row Labels,B0,F0,S0,U0,B10,F10,S10,U10,B20,F20,S20,U20,B30,F30,S30,U30,B40,F40,S40,U40,B50,F50,S50,U50,B60,F60,S60,U60,B70,F70,S70,U70,B80,F80,S80,U80,B90,F90,S90,U90,B100,F100,S100,U100
4,131,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46.15384615,25,0
4,132,0,0,0,0,0,100,100,33.33333333,100,0,0,55.55555556,33.33333333,100,100,41.66666667,100,60,100,50,62.5,100,100,75,40,75,100,100,66.66666667,100,88.88888889,0,100,87.5,87.5,0,75,85.71428571,72.72727273,0,50,100,100,0
4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,100,0,0,0,50,0,0,0,0,0,0,100,0,0,33.33333333,0,0,0,0,50,20,0,42.85714286,71.42857143,60,0,0,68.75,50,11.76470588
4,134,0,100,0,0,100,0,33.33333333,20,50,66.66666667,100,71.42857143,0,0,0,50,0,100,0,0,75,0,100,0,66.66666667,100,0,25,50,100,100,50,42.85714286,100,75,0,50,100,100,25,53.33333333,95.23809524,70,100
4,135,100,0,50,0,33.33333333,14.28571429,0,0,16.66666667,0,71.42857143,12.5,10,50,50,0,16.66666667,100,75,0,0,66.66666667,66.66666667,0,16.66666667,60,0,0,0,66.66666667,14.28571429,0,0,66.66666667,66.66666667,0,0,0,33.33333333,0,0,100,100,0
4,136,60,0,71.42857143,13.33333333,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,30,100,50,20,0,0,0,0,0,0,0,0,100,100,100,50,0,100,0,0,35.29411765,83.33333333,79.31034483,33.33333333
4,137,0,0,33.33333333,10,40,71.42857143,50,50,25,60,57.14285714,25,0,66.66666667,50,0,33.33333333,33.33333333,66.66666667,0,100,66.66666667,50,0,50,50,100,0,40,60,33.33333333,0,66.66666667,100,100,42.85714286,0,100,33.33333333,100,0,100,100,0
4,138,0,0,0,20,0,66.66666667,0,6.666666667,0,0,0,0,0,0,50,66.66666667,0,0,0,50,50,0,0,50,0,50,50,66.66666667,0,66.66666667,0,0,50,75,57.14285714,0,45.45454545,90,54.54545455,50,27.27272727,88.88888889,70,50
4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,50,33.33333333,50,42.85714286,0,0,0,0,50,33.33333333,0,57.14285714,0,0,0,0,33.33333333,0,0,42.10526316,25,0
4,141,0,0,0,0,0,0,50,0,0,0,16.66666667,0,0,100,25,0,0,50,0,0,50,71.42857143,0,0,0,40,0,0,0,50,33.33333333,20,0,57.14285714,0,0,33.33333333,66.66666667,100,50,0,66.66666667,66.66666667,0
4,142,0,0,0,0,0,100,0,0,0,0,0,33.33333333,0,50,0,0,50,0,0,0,75,50,33.33333333,9.090909091,0,100,25,0,25,75,66.66666667,0,16.66666667,83.33333333,66.66666667,0,33.33333333,77.77777778,33.33333333,0,61.53846154,100,64.70588235,0
4,143,0,50,0,0,0,25,33.33333333,0,0,0,0,0,20,50,0,0,0,20,0,0,0,40,0,0,50,0,20,0,0,75,25,0,28.57142857,25,50,0,0,50,33.33333333,0,0,0,0,0
4,144,50,33.33333333,100,0,42.85714286,0,0,0,0,0,0,33.33333333,100,0,0,0,50,100,100,0,12.5,100,80,0,0,66.66666667,66.66666667,0,100,83.33333333,0,100,0,83.33333333,50,0,0,66.66666667,66.66666667,0,33.33333333,66.66666667,66.66666667,0
4,145,0,14.28571429,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,100,0,0,16.66666667,75,66.66666667,0,0,100,100,0,100,100,60,0,0,88.88888889,42.85714286,0,0,100,75,0,50,71.42857143,63.63636364,0
4,146,0,0,0,0,33.33333333,50,0,0,0,100,0,33.33333333,66.66666667,100,0,50,57.14285714,0,100,14.28571429,50,87.5,87.5,33.33333333,50,100,66.66666667,0,50,100,100,40,25,100,75,0,100,100,100,0,42.85714286,92.30769231,85.71428571,0
4,147,0,0,0,0,100,100,100,0,44.44444444,85.71428571,87.5,30.43478261,36,80.76923077,96.42857143,43.75,25,50,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,148,0,0,0,0,33.33333333,0,100,0,50,25,100,8.333333333,0,100,0,0,0,40,100,0,33.33333333,50,50,0,0,33.33333333,45.45454545,0,20,66.66666667,87.5,0,100,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0
4,150,0,0,0,40,0,0,0,0,0,0,0,25,100,100,100,0,33.33333333,66.66666667,100,0,16.66666667,83.33333333,100,0,100,100,60,0,50,100,100,0,66.66666667,75,80,0,0,100,80,25,54.54545455,72.72727273,78.57142857,50
4,151,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,36.36363636,21.875,0
4,152,0,100,50,0,15.38461538,58.33333333,14.28571429,0,0,0,0,0,0,33.33333333,50,0,0,100,100,0,50,60,50,0,0,100,60,0,100,0,50,0,40,0,75,0,0,57.14285714,16.66666667,0,0,0,0,0
4,153,0,0,0,14.28571429,0,0,0,0,0,0,0,33.33333333,0,100,0,0,0,100,0,0,25,100,75,0,36.36363636,100,80,0,66.66666667,87.5,55.55555556,0,56.25,80.95238095,66.66666667,0,0,100,80,0,0,0,0,0
4,154,0,75,50,0,14.28571429,66.66666667,16.66666667,6.25,0,50,60,0,30,100,42.85714286,0,40,100,25,0,0,75,37.5,0,0,75,50,0,33.33333333,75,33.33333333,0,50,75,100,0,100,0,100,0,100,0,0,0
4,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
