ExperimentName,Subject,Session,Procedure[Block],Running[Block],Trial,Block1ITEMS,Block2ITEMS,cue_target,Direction,ListNum,pword3.RESP,pword3.RT,pword5.RESP,pword5.RT,Rword1.RESP,Rword1.RT,Rword2.RESP,Rword2.RT,Group,Procedure[Trial]
D_JOL A 2,117,1,BlockProc2,Block2,1,,,Hide - Scare,,2,,,,,,,,,1,StudyProc4
D_JOL A 2,117,1,BlockProc2,Block2,2,,,Essay - Write,,4,,,,,,,,,1,StudyProc4
D_JOL A 2,117,1,BlockProc2,Block2,3,,,Disintegrate - Disappear,,3,,,,,,,,,1,StudyProc4
D_JOL A 2,117,1,BlockProc2,Block2,4,,,Malt - Chocolate,,5,,,,,,,,,1,StudyProc4
D_JOL A 2,117,1,BlockProc2,Block2,5,,,Sheriff - Police,,1,,,,,,,,,1,StudyProc4
D_JOL A 2,117,1,BlockProc2,Block2,6,,5,Detective - Mystery,F,5,,,40,2657,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,7,,75,Loan - Sign,U,75,,,45,3115,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,8,,3,Cactus - Plant,F,3,,,65,2223,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,9,,53,Truth - Lie,S,53,,,75,5971,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,10,,57,Loud - Noise,S,57,,,70,2384,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,11,,51,Dry - Wet,S,51,,,80,2337,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,12,,33,Dead - Coffin,B,33,,,90,2880,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,13,,37,Money - Banker,B,37,,,80,1645,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,14,,23,Bad - Villain,B,23,,,50,3962,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,15,,8,Litter - Trash,F,8,,,70,2718,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,16,,47,Gone - Away,S,47,,,75,3048,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,17,,66,Crackle - Able,U,66,,,45,2548,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,18,,68,Listen - Fiction,U,68,,,50,2583,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,19,,31,Cat - Panther,B,31,,,65,1991,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,20,,55,Rod - Reel,S,55,,,80,2849,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,21,,52,Safety - Seatbelt,S,52,,,70,2212,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,22,,6,Adjourn - End,F,6,,,40,1402,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,23,,67,Shell - Snake,U,67,,,60,3099,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,24,,9,Cherry - Red,F,9,,,80,3559,,,,,1,StudyProc5
D_JOL A 2,117,1,BlockProc2,Block2,25,,80,Charm - Vehicle,U,80,,,50,3147,,,,,1,StudyProc5
